dataset,sample_size,noise_level,clf_type,regularization_value,train_acc,test_acc,train_std,test_std,acc_diff,k
circles,500,0.2,log_reg,100,0.5822222222222221,0.5,0.0173561103909037,0.15491933384829668,0.08222222222222209,-
circles,500,0.2,log_reg,1000,0.5822222222222221,0.5,0.0173561103909037,0.15491933384829668,0.08222222222222209,-
circles,500,0.2,knn,-,1.0,0.6,0.0,0.16733200530681513,0.4,1
circles,500,0.2,knn,-,0.7788888888888889,0.61,0.01953155092360773,0.1972308292331602,0.16888888888888887,3
circles,500,0.2,knn,-,0.7266666666666668,0.64,0.02638742686008426,0.19595917942265426,0.08666666666666678,5
circles,500,0.2,knn,-,0.7333333333333334,0.64,0.03370166864022913,0.19595917942265426,0.09333333333333338,7
circles,500,0.2,knn,-,0.7655555555555555,0.68,0.03081205471969344,0.13999999999999999,0.0855555555555555,9
circles,500,0.2,knn,-,0.7477777777777778,0.6599999999999999,0.019277057303219432,0.1854723699099141,0.08777777777777784,11
circles,500,0.2,knn,-,0.7177777777777778,0.66,0.01662958838566196,0.19595917942265426,0.05777777777777782,13
circles,500,0.2,knn,-,0.7255555555555556,0.67,0.02279809392075912,0.17916472867168917,0.05555555555555558,15
circles,500,0.2,knn,-,0.7088888888888889,0.6599999999999999,0.029731307022799216,0.1562049935181331,0.04888888888888898,17
circles,500,0.2,knn,-,0.678888888888889,0.5999999999999999,0.03458751648060752,0.18439088914585774,0.07888888888888912,19
circles,500,0.2,log_reg,0.001,0.55,0.55,0.005555555555555591,0.04999999999999999,0.0,-
circles,500,0.2,log_reg,0.01,0.55,0.55,0.005555555555555591,0.04999999999999999,0.0,-
circles,500,0.2,log_reg,0.1,0.5533333333333333,0.52,0.006666666666666687,0.059999999999999984,0.033333333333333326,-
circles,500,0.2,log_reg,1,0.538888888888889,0.5,0.01940472132952554,0.06324555320336757,0.03888888888888897,-
circles,500,0.2,log_reg,10,0.5366666666666666,0.49000000000000005,0.017950549357115004,0.10440306508910549,0.04666666666666658,-
circles,500,0.2,log_reg,100,0.5377777777777777,0.48,0.018053418676968788,0.11661903789690602,0.057777777777777706,-
circles,500,0.2,log_reg,1000,0.5377777777777777,0.48,0.018053418676968788,0.11661903789690602,0.057777777777777706,-
circles,500,0.2,knn,-,1.0,0.6100000000000001,0.0,0.16401219466856728,0.3899999999999999,1
circles,500,0.2,knn,-,0.8177777777777777,0.58,0.02119864892037656,0.09797958971132709,0.23777777777777775,3
circles,500,0.2,knn,-,0.7322222222222223,0.5199999999999999,0.02555555555555559,0.10770329614269007,0.21222222222222242,5
circles,500,0.2,knn,-,0.6722222222222223,0.56,0.02950204010522611,0.11999999999999998,0.11222222222222222,7
circles,500,0.2,knn,-,0.71,0.5700000000000001,0.020757268546966016,0.11,0.1399999999999999,9
circles,500,0.2,knn,-,0.6966666666666667,0.5999999999999999,0.0205179836806882,0.10954451150103321,0.09666666666666679,11
circles,500,0.2,knn,-,0.6722222222222223,0.5399999999999999,0.020030840419244387,0.10198039027185568,0.13222222222222235,13
circles,500,0.2,knn,-,0.6344444444444445,0.49000000000000005,0.028306087117459997,0.12999999999999998,0.14444444444444443,15
circles,500,0.2,knn,-,0.611111111111111,0.53,0.02939723678960657,0.1345362404707371,0.08111111111111102,17
circles,500,0.2,knn,-,0.5799999999999998,0.49000000000000005,0.04964068423041929,0.122065556157337,0.0899999999999998,19
circles,1000,0.2,log_reg,0.001,0.51,0.51,0.0022222222222222144,0.020000000000000018,0.0,-
circles,1000,0.2,log_reg,0.01,0.4988888888888889,0.48,0.015475986974649011,0.07483314773547882,0.0188888888888889,-
circles,1000,0.2,log_reg,0.1,0.5288888888888889,0.505,0.01735611039090368,0.07228416147400481,0.02388888888888885,-
circles,1000,0.2,log_reg,1,0.5383333333333333,0.51,0.013933262448871601,0.08,0.02833333333333332,-
circles,1000,0.2,log_reg,10,0.54,0.51,0.014010578014353866,0.08,0.030000000000000027,-
